date,open,high,low,close,volume,Dividends,Stock Splits,ticker
2026-02-23,651.9817939677475,657.1374142434245,635.455964272141,636.7048950195312,8605900,0.0,0.0,META
2026-02-24,632.5384628258726,640.5615620292823,628.4419334902003,638.7531127929688,10135600,0.0,0.0,META
2026-02-25,641.9803720795121,653.3206382422114,641.5906910720822,653.1307983398438,11330700,0.0,0.0,META
2026-02-26,649.9935020296807,660.4345752110744,646.9461232211356,656.447998046875,10637700,0.0,0.0,META
2026-02-27,642.8995542116262,648.8844201349368,637.5740968396581,647.62548828125,15703000,0.0,0.0,META
2026-03-02,636.6149203669017,659.3754626922687,633.9572226725116,653.0009155273438,9816100,0.0,0.0,META
2026-03-03,647.7354225434952,658.4762268569145,638.293554979916,654.5196533203125,12263800,0.0,0.0,META
2026-03-04,657.397151925757,672.1944798634893,657.1073609851721,667.1587524414062,10810100,0.0,0.0,META
2026-03-05,661.363765843265,670.1262833419206,649.7537106790966,660.0049438476562,13341400,0.0,0.0,META
2026-03-06,647.3457881163396,648.9143914185428,635.5658346648192,644.308349609375,13159400,0.0,0.0,META
2026-03-09,634.2369839533108,647.195859029807,626.2438278402449,646.836181640625,13489700,0.0,0.0,META
2026-03-10,653.0009245574777,659.7351492208539,648.444827744844,653.510498046875,9859300,0.0,0.0,META
2026-03-11,654.1999146227295,658.5561703533895,647.8053649208291,654.2998046875,8977200,0.0,0.0,META
2026-03-12,648.1950599902964,652.9409968457168,636.355220859953,637.6340942382812,11617500,0.0,0.0,META
2026-03-13,623.3562813254467,628.6317326131165,609.0285222575777,613.1849975585938,18957600,0.0,0.0,META
2026-03-16,632.0,634.75,623.0999755859375,627.4500122070312,15134900,0.525,0.0,META
2026-03-17,627.989990234375,636.5499877929688,621.7000122070312,622.6599731445312,10348800,0.0,0.0,META
2026-03-18,616.3400268554688,622.6500244140625,614.6099853515625,615.6799926757812,11726300,0.0,0.0,META
2026-03-19,612.1500244140625,613.0,602.260009765625,606.7000122070312,13247700,0.0,0.0,META
2026-03-20,603.530029296875,603.9600219726562,587.25,593.6599731445312,21214900,0.0,0.0,META
2026-03-23,605.7899780273438,608.6400146484375,599.010009765625,604.0599975585938,13638000,0.0,0.0,META
2026-03-24,599.0999755859375,601.0,591.0,592.9199829101562,10739700,0.0,0.0,META
2026-03-25,598.739990234375,603.6699829101562,593.4000244140625,594.8900146484375,12585000,0.0,0.0,META
2026-03-26,582.489990234375,583.0,543.3499755859375,547.5399780273438,35780100,0.0,0.0,META
2026-03-27,540.0999755859375,543.5999755859375,520.260009765625,525.719970703125,30133000,0.0,0.0,META
2026-03-30,536.3800048828125,539.5499877929688,528.5399780273438,536.3800048828125,22795200,0.0,0.0,META
2026-03-31,549.97998046875,573.6900024414062,546.77001953125,572.1300048828125,32898300,0.0,0.0,META
2026-04-01,580.1300048828125,592.5499877929688,573.8200073242188,579.22998046875,23608100,0.0,0.0,META
2026-04-02,566.0399780273438,578.5,559.7000122070312,574.4600219726562,13518500,0.0,0.0,META
2026-04-06,577.6900024414062,582.7899780273438,572.0,573.02001953125,9515700,0.0,0.0,META
2026-04-07,572.47998046875,575.22998046875,564.760009765625,575.0499877929688,9580800,0.0,0.0,META
2026-04-08,606.0,629.9500122070312,591.8300170898438,612.4199829101562,32036600,0.0,0.0,META
2026-04-09,626.969970703125,637.5,623.0,628.3900146484375,19012900,0.0,0.0,META
2026-04-10,634.469970703125,638.5800170898438,624.3300170898438,629.8599853515625,13294800,0.0,0.0,META
2026-04-13,629.5,635.0,624.4000244140625,634.530029296875,9538900,0.0,0.0,META
2026-04-14,643.219970703125,666.260009765625,639.3699951171875,662.489990234375,17818000,0.0,0.0,META
2026-04-15,667.0,678.5,664.219970703125,671.5800170898438,14952600,0.0,0.0,META
2026-04-16,675.989990234375,677.5800170898438,667.75,676.8699951171875,9544800,0.0,0.0,META
2026-04-17,678.5999755859375,691.52001953125,675.1300048828125,688.5499877929688,16283500,0.0,0.0,META
2026-04-20,681.3599853515625,683.3800048828125,668.0,670.9099731445312,12534000,0.0,0.0,META
2026-04-21,671.0,676.2000122070312,667.3300170898438,668.8400268554688,8660100,0.0,0.0,META
2026-04-22,674.3599853515625,678.3800048828125,669.75,674.719970703125,9215600,0.0,0.0,META
2026-04-23,663.7000122070312,669.5599975585938,653.0499877929688,659.1500244140625,11667000,0.0,0.0,META
2026-04-24,660.3200073242188,680.6699829101562,653.8400268554688,675.030029296875,13348300,0.0,0.0,META
2026-04-27,671.0,682.5,670.8400268554688,678.6199951171875,12805200,0.0,0.0,META
2026-04-28,674.239990234375,678.1799926757812,665.6300048828125,671.3400268554688,10606800,0.0,0.0,META
2026-04-29,668.9099731445312,674.25,663.8099975585938,669.1199951171875,18947500,0.0,0.0,META
2026-04-30,619.3200073242188,620.8499755859375,600.0,611.9099731445312,52765000,0.0,0.0,META
2026-05-01,614.6900024414062,618.8800048828125,606.1099853515625,608.75,21404000,0.0,0.0,META
2026-05-04,607.9400024414062,614.0,602.75,610.4099731445312,16203900,0.0,0.0,META
2026-05-05,613.3099975585938,614.3499755859375,600.3599853515625,604.9600219726562,17171300,0.0,0.0,META
2026-05-06,601.0499877929688,619.9500122070312,598.0999755859375,612.8800048828125,19915500,0.0,0.0,META
2026-05-07,614.719970703125,624.97998046875,613.5399780273438,616.8099975585938,12307400,0.0,0.0,META
2026-05-08,615.2000122070312,616.77001953125,606.0599975585938,609.6300048828125,13557000,0.0,0.0,META
2026-05-11,604.5700073242188,604.9099731445312,598.0800170898438,598.8599853515625,15940600,0.0,0.0,META
2026-05-12,594.8200073242188,603.75,592.5999755859375,603.0,11351600,0.0,0.0,META
